
annette,hi,Female,130.0,62.0,18.0,1-3x/wk,Toned,672.6937500000004,648.0,546.75,1867.4437500000004,18.674437500000003,280.11656250000004,22409.325000000004,23.343046875000006
jessica,hello,Female,130.0,64.0,21.0,1-3x/wk,Avg Adult,953.5749999999998,468.0,409.5,1831.0749999999998,18.31075,274.66124999999994,21972.899999999998,22.8884375
michael,bye,Male,90.0,58.0,14.0,3-5x/wk,Toned,1044.0549999999998,432.0,364.5,1840.5549999999998,18.405549999999998,276.08324999999996,22086.659999999996,23.0069375
ag,yo,Female,140.0,62.0,18.0,3-5x/wk,Toned,915.7400000000002,672.0,567.0,2154.7400000000002,21.547400000000003,323.211,25856.880000000005,26.934250000000006
asldkfj,oi,Female,150.0,67.0,19.0,1-3x/wk,Toned,655.5125000000003,720.0,607.5,1983.0125000000003,19.830125000000002,297.45187500000003,23796.15,24.787656250000005
hall,way,Male,170.0,72.0,19.0,3-5x/wk,Toned,1331.4650000000001,816.0,688.5,2835.965,28.359650000000002,425.39475,34031.58,35.449562500000006
sananth,hi,Female,140.0,66.0,18.0,3-5x/wk,Avg Adult,1238.88,504.0,441.0,2183.88,21.838800000000003,327.582,26206.56,27.298500000000004
alfred,thegreat,Male,180.0,76.0,24.0,3-5x/wk,Toned,1365.5699999999997,864.0,729.0,2958.5699999999997,29.5857,443.78549999999996,35502.84,36.982124999999996
william,sea,Male,160.0,70.0,46.0,3-5x/wk,Toned,999.4500000000003,768.0,648.0,2415.4500000000003,24.154500000000002,362.31750000000005,28985.4,30.193125000000006
annette,hi,Female,130.0,62.0,18.0,1-3x/wk,Toned,672.6937500000004,648.0,546.75,1867.4437500000004,18.674437500000003,280.11656250000004,22409.325000000004,23.343046875000006
elsa,richmond,Female,125.0,62.0,18.0,3-5x/wk,Toned,947.3525000000004,600.0,506.25,2053.6025000000004,20.536025000000006,308.04037500000004,24643.230000000003,25.670031250000008
harry,thefirst,Male,160.0,68.0,19.0,3-5x/wk,Avg Adult,1580.6600000000003,576.0,504.0,2660.6600000000003,26.606600000000004,399.09900000000005,31927.920000000006,33.258250000000004
diana,died,Female,120.0,65.0,26.0,3-5x/wk,Toned,921.4650000000001,576.0,486.0,1983.4650000000001,19.834650000000003,297.51975,23801.58,24.793312500000003
obama,thepres,Male,170.0,75.0,47.0,3-5x/wk,Avg Adult,1452.400000000001,612.0,535.4999999999999,2599.900000000001,25.99900000000001,389.9850000000001,31198.80000000001,32.498750000000015
obama,thepres,Male,170.0,75.0,47.0,3-5x/wk,Avg Adult,1452.400000000001,612.0,535.4999999999999,2599.900000000001,25.99900000000001,389.9850000000001,31198.80000000001,32.498750000000015
the,galaxy,Male,170.0,72.0,18.0,3-5x/wk,Toned,1342.005,816.0,688.5,2846.505,28.46505,426.97575,34158.06,35.5813125
a,a,Female,135.0,62.0,18.0,3-5x/wk,Toned,926.2775000000001,648.0,546.75,2121.0275,21.210275000000003,318.154125,25452.33,26.512843750000002
a,a,Female,135.0,62.0,1.0,3-5x/wk,Toned,1050.1225,648.0,546.75,2244.8725,22.448725,336.73087499999997,26938.47,28.060906250000002
a,aa,Female,135.0,52.0,18.0,3-5x/wk,Avg Adult,1136.9275000000002,486.0,425.25,2048.1775000000002,20.481775000000003,307.226625,24578.130000000005,25.602218750000006
a,a,Female,135.0,62.0,18.0,3-5x/wk,Toned,926.2775000000001,648.0,546.75,2121.0275,21.210275000000003,318.154125,25452.33,26.512843750000002
a,a,Female,135.0,62.0,18.0,3-5x/wk,Toned,926.2775000000001,648.0,546.75,2121.0275,21.210275000000003,318.154125,25452.33,26.512843750000002
a,a,Female,135.0,62.0,18.0,3-5x/wk,Toned,926.2775000000001,648.0,546.75,2121.0275,21.210275000000003,318.154125,25452.33,26.512843750000002
a,a135,Female,135.0,62.0,18.0,3-5x/wk,Toned,926.2775000000001,648.0,546.75,2121.0275,21.210275000000003,318.154125,25452.33,26.512843750000002
a,a135,Female,135.0,62.0,18.0,3-5x/wk,Toned,926.2775000000001,648.0,546.75,2121.0275,21.210275000000003,318.154125,25452.33,26.512843750000002
a,a135,Female,135.0,62.0,18.0,3-5x/wk,Toned,926.2775000000001,648.0,546.75,2121.0275,21.210275000000003,318.154125,25452.33,26.512843750000002
a,a135,Female,135.0,62.0,18.0,3-5x/wk,Toned,926.2775000000001,648.0,546.75,2121.0275,21.210275000000003,318.154125,25452.33,26.512843750000002
annette,hi,Female,130.0,62.0,18.0,1-3x/wk,Toned,672.6937500000004,648.0,546.75,1867.4437500000004,18.674437500000003,280.11656250000004,22409.325000000004,23.343046875000006
omoye,omoye,Female,135.0,62.0,18.0,1-3x/wk,Toned,672.6937500000004,648.0,546.75,1867.4437500000004,18.674437500000003,280.11656250000004,22409.325000000004,23.343046875000006
eallard,allard,Male,175.0,72.0,19.0,3-5x/wk,Avg Adult,1702.9975,630.0,551.2499999999999,2884.2475,28.842475,432.63712499999997,34610.97,36.05309375
mahparah,password,Female,115.0,65.0,18.0,Sedentary,Avg Adult,750.1300000000001,414.0,362.25,1526.38,15.263800000000002,228.95700000000002,18316.56,19.07975
mahparah,password,Female,115.0,65.0,18.0,Sedentary,Avg Adult,750.1300000000001,414.0,362.25,1526.38,15.263800000000002,228.95700000000002,18316.56,19.07975
annette,hi,Female,130.0,62.0,18.0,1-3x/wk,Toned,687.0375000000004,624.0,526.5,1837.5375000000004,18.375375000000005,275.63062500000007,22050.450000000004,22.969218750000007
sung,annetteisaloser,Male,250.0,74.0,20.0,1-3x/wk,Toned,1000.0375000000004,1200.0,1012.5,3212.5375000000004,32.125375000000005,481.880625,38550.450000000004,40.15671875000001
sung,annetteisaloser,Male,250.0,74.0,20.0,1-3x/wk,Toned,1000.0375000000004,1200.0,1012.5,3212.5375000000004,32.125375000000005,481.880625,38550.450000000004,40.15671875000001
a,a,Female,135.0,62.0,18.0,6-7x/wk,Toned,1179.8612500000004,648.0,546.75,2374.6112500000004,23.746112500000006,356.19168750000006,28495.335000000006,29.682640625000005
annette,hi,Female,130.0,62.0,18.0,1-3x/wk,Toned,687.0375000000004,624.0,526.5,1837.5375000000004,18.375375000000005,275.63062500000007,22050.450000000004,22.969218750000007
kosbie,hello,Male,150.0,72.0,26.0,3-5x/wk,Toned,1241.5550000000003,720.0,607.5,2569.0550000000003,25.69055,385.35825000000006,30828.660000000003,32.1131875
mellon,bites,Female,150.0,72.0,18.0,1-3x/wk,Avg Adult,1009.2875000000004,540.0,472.5,2021.7875000000004,20.217875000000003,303.26812500000005,24261.450000000004,25.272343750000005
annette,hi,Female,130.0,62.0,18.0,1-3x/wk,Toned,687.0375000000004,624.0,526.5,1837.5375000000004,18.375375000000005,275.63062500000007,22050.450000000004,22.969218750000007
haiwenl,hello,Female,110.0,59.0,19.0,3-5x/wk,Toned,949.8250000000003,528.0,445.5,1923.3250000000003,19.23325,288.49875000000003,23079.9,24.041562500000005
annette,hi,Female,130.0,62.0,18.0,1-3x/wk,Toned,687.0375000000004,624.0,526.5,1837.5375000000004,18.375375000000005,275.63062500000007,22050.450000000004,22.969218750000007
hello,hello,Female,150.0,72.0,18.0,1-3x/wk,Avg Adult,1009.2875000000004,540.0,472.5,2021.7875000000004,20.217875000000003,303.26812500000005,24261.450000000004,25.272343750000005
annette,hi,Female,130.0,62.0,18.0,1-3x/wk,Toned,687.0375000000004,624.0,526.5,1837.5375000000004,18.375375000000005,275.63062500000007,22050.450000000004,22.969218750000007
annette,hi,Female,130.0,62.0,18.0,1-3x/wk,Toned,687.0375000000004,624.0,526.5,1837.5375000000004,18.375375000000005,275.63062500000007,22050.450000000004,22.969218750000007
